Postcode,Number of individuals lodging an income tax return,Count taxable income or loss,Average taxable income or loss,Median taxable income or loss,Proportion with salary or wages,Count salary or wages,Average salary or wages,Median salary or wages,Proportion with net rent,Count net rent,Average net rent,Median net rent,Count total income or loss,Average total income or loss,Median total income or loss,Count total deductions,Average total deductions,Median total deductions,Proportion with total business income,Count total business income,Average total business income,Median total business income,Proportion with total business expenses,Count total business expenses,Average total business expenses,Median total business expenses,Proportion with net tax,Count net tax,Average net tax,Median net tax,Count super total accounts balance,Average super total accounts balance,Median super total accounts balance
2218,10691,10691,54445,44593,0.82,8771,58373,50286,0.18,1951,-373,-150,10691,56310,46159,10691,1842,615,0.10,1110,98429,23726,0.09,1008,85859,10060,0.75,8001,14969,9601,11934,91124,28152
2219,8248,8248,71896,54663,0.75,6215,72220,60666,0.24,1986,3335,1238,8248,74823,56929,8248,2864,862,0.10,854,103084,34305,0.10,808,75378,15768,0.78,6448,22897,13839,9094,197261,71088
2220,23073,23073,47569,36212,0.80,18440,50682,41471,0.20,4634,-1210,-1178,23073,49176,37400,23073,1545,436,0.10,2307,109976,22397,0.09,2020,104054,8580,0.69,15892,13429,7216,24692,73826,12820
2221,10795,10795,76610,50332,0.74,7964,71191,55542,0.29,3140,2627,958,10795,79784,52558,10795,3087,705,0.11,1139,330768,33680,0.10,1044,309650,14799,0.76,8223,26892,13303,11386,204267,58780
2222,8445,8445,56286,44585,0.82,6904,59753,49544,0.18,1557,487,-65,8445,58157,46128,8445,1846,609,0.09,764,76608,25214,0.08,708,58028,9509,0.75,6298,16066,9833,9259,117005,35637
2223,13918,13918,74979,54049,0.79,11017,75093,60508,0.23,3233,1512,265,13918,77730,56364,13918,2688,832,0.08,1171,95780,25200,0.08,1091,63657,9807,0.78,10797,24961,14050,15244,199805,73261
2224,9106,9106,75611,50815,0.71,6510,71563,57993,0.24,2198,4420,1005,9106,78670,53068,9106,2952,695,0.09,838,125758,34936,0.09,798,101890,14061,0.75,6821,26707,13634,9790,236457,78579
2225,3463,3463,85448,60833,0.79,2753,85879,67845,0.21,739,-307,-293,3463,88605,63474,3463,3131,1084,0.09,297,89705,30195,0.08,283,56643,10302,0.78,2707,30252,17846,3868,225341,112663
2226,8000,8000,78734,60866,0.82,6527,81962,67977,0.20,1573,-135,-164,8000,81434,63682,8000,2651,1025,0.08,629,102688,27542,0.07,594,82458,9888,0.80,6396,25652,16519,8894,195191,99352
2227,9427,9427,75095,58312,0.81,7646,77631,64606,0.18,1739,190,-480,9427,77946,60588,9427,2802,974,0.09,804,78731,30800,0.08,760,49261,12164,0.80,7510,23803,15393,10613,188703,91807
